Date,team1,team2
2019-05-05,MIA,ATL
2019-05-05,PIT,OAK
2019-05-05,SEA,CLE
2019-05-05,PHI,WSN
2019-05-05,CHC,STL
2019-05-05,NYM,MIL
2019-05-05,COL,ARI
2019-05-05,CHW,BOS
2019-05-05,TOR,TEX
2019-05-05,CIN,SFG
2019-05-05,DET,KCR
2019-05-06,KCR,HOU
2019-05-06,ATL,LAD
2019-05-06,SEA,NYY
2019-05-06,TOR,MIN
2019-05-06,ARI,TBR
2019-05-06,CHW,CLE
2019-05-06,MIL,WSN
2019-05-06,PHI,STL
2019-05-06,SDP,NYM
2019-05-06,BAL,BOS
2019-05-06,MIA,CHC
2019-05-06,CIN,SFG
2019-05-07,KCR,HOU
2019-05-07,ATL,LAD
2019-05-07,SEA,NYY
2019-05-07,TOR,MIN
2019-05-07,CIN,OAK
2019-05-07,ARI,TBR
2019-05-07,CHW,CLE
2019-05-07,MIL,WSN
2019-05-07,PHI,STL
2019-05-07,SDP,NYM
2019-05-07,BAL,BOS
2019-05-07,MIA,CHC
2019-05-07,PIT,TEX
2019-05-07,COL,SFG
2019-05-07,DET,LAA
2019-05-08,KCR,HOU
2019-05-08,ATL,LAD
2019-05-08,SEA,NYY
2019-05-08,TOR,MIN
2019-05-08,CIN,OAK
2019-05-08,ARI,TBR
2019-05-08,CHW,CLE
2019-05-08,MIL,WSN
2019-05-08,PHI,STL
2019-05-08,SDP,NYM
2019-05-08,BAL,BOS
2019-05-08,MIA,CHC
2019-05-08,PIT,TEX
2019-05-08,DET,LAA
2019-05-09,TEX,HOU
2019-05-09,WSN,LAD
2019-05-09,SEA,NYY
2019-05-09,ARI,ATL
2019-05-09,CIN,OAK
2019-05-09,CHW,CLE
2019-05-09,PIT,STL
2019-05-09,MIA,CHC
2019-05-09,COL,SFG
2019-05-09,DET,LAA
2019-05-10,TEX,HOU
2019-05-10,WSN,LAD
2019-05-10,TBR,NYY
2019-05-10,DET,MIN
2019-05-10,ARI,ATL
2019-05-10,CLE,OAK
2019-05-10,PIT,STL
2019-05-10,CHC,MIL
2019-05-10,MIA,NYM
2019-05-10,SEA,BOS
2019-05-10,KCR,PHI
2019-05-10,CIN,SFG
2019-05-10,TOR,CHW
2019-05-10,BAL,LAA
2019-05-10,SDP,COL
2019-05-11,TEX,HOU
2019-05-11,WSN,LAD
2019-05-11,TBR,NYY
2019-05-11,DET,MIN
2019-05-11,DET,MIN
2019-05-11,ARI,ATL
2019-05-11,CLE,OAK
2019-05-11,PIT,STL
2019-05-11,CHC,MIL
