Date,team1,team2,winners,team1wins,team2wins,ties
2019-04-13,KCR,CLE,CLE,3360,5026,1614
2019-04-13,PIT,WSN,WSN,4097,4837,1066
2019-04-13,CIN,STL,STL,3865,4781,1354
2019-04-13,SDP,ARI,SDP,4845,4087,1068
2019-04-13,BAL,BOS,BOS,3937,4821,1242
2019-04-13,LAA,CHC,CHC,4334,4676,990
2019-04-13,MIA,PHI,PHI,2385,6636,979
2019-04-13,COL,SFG,SFG,2554,5797,1649
2019-04-14,SEA,HOU,SEA,5174,3519,1307
2019-04-14,MIL,LAD,LAD,3964,5049,987
2019-04-14,CHW,NYY,NYY,2647,6265,1088
2019-04-14,DET,MIN,MIN,3511,5347,1142
2019-04-14,NYM,ATL,ATL,3995,4561,1444
2019-04-14,TEX,OAK,OAK,3747,5138,1115
2019-04-14,TOR,TBR,TBR,2557,6207,1236
2019-04-14,KCR,CLE,CLE,3764,4631,1605
2019-04-14,PIT,WSN,WSN,3998,4860,1142
2019-04-14,CIN,STL,STL,4223,4354,1423
2019-04-14,SDP,ARI,SDP,4966,3922,1112
2019-04-14,BAL,BOS,BOS,4306,4428,1266
2019-04-14,MIA,PHI,PHI,3149,5823,1028
2019-04-14,COL,SFG,SFG,2353,5983,1664
2019-04-15,CIN,LAD,LAD,4070,4956,974
2019-04-15,TOR,MIN,MIN,3452,5322,1226
2019-04-15,SEA,CLE,SEA,5882,2964,1154
2019-04-15,MIL,STL,STL,3261,5301,1438
2019-04-15,PHI,NYM,PHI,4669,4045,1286
2019-04-15,BAL,BOS,BOS,4025,4713,1262
2019-04-15,MIA,CHC,CHC,3319,5734,947
2019-04-15,LAA,TEX,LAA,4625,4212,1163
2019-04-15,KCR,CHW,KCR,5138,3556,1306
2019-04-15,SDP,COL,SDP,5671,2950,1379
2019-04-16,OAK,HOU,HOU,4172,4489,1339
2019-04-16,CIN,LAD,LAD,3988,5006,1006
2019-04-16,BOS,NYY,NYY,2767,5981,1252
2019-04-16,TOR,MIN,MIN,3564,5160,1276
2019-04-16,ARI,ATL,ATL,3561,5163,1276
2019-04-16,BAL,TBR,TBR,2025,6879,1096
2019-04-16,SEA,CLE,SEA,5534,3163,1303
2019-04-16,SFG,WSN,WSN,3818,5088,1094
2019-04-16,MIL,STL,STL,3682,4924,1394
2019-04-16,PHI,NYM,PHI,4475,4254,1271
2019-04-16,MIA,CHC,CHC,3204,5827,969
2019-04-16,LAA,TEX,TEX,4289,4605,1106
2019-04-16,KCR,CHW,KCR,5031,3610,1359
2019-04-16,SDP,COL,SDP,5292,3245,1463
2019-04-16,DET,PIT,PIT,3583,4767,1650
2019-04-17,OAK,HOU,HOU,3682,4986,1332
2019-04-17,CIN,LAD,LAD,3728,5244,1028
2019-04-17,BOS,NYY,NYY,2405,6430,1165
2019-04-17,TOR,MIN,MIN,3674,5051,1275
2019-04-17,ARI,ATL,ATL,3829,4964,1207
2019-04-17,BAL,TBR,TBR,1931,6976,1093
2019-04-17,SEA,CLE,SEA,5329,3323,1348
2019-04-17,SFG,WSN,WSN,4026,4870,1104
2019-04-17,MIL,STL,STL,3887,4624,1489
2019-04-17,PHI,NYM,PHI,5289,3457,1254
2019-04-17,MIA,CHC,CHC,3001,5994,1005
2019-04-17,LAA,TEX,TEX,3840,4973,1187
2019-04-17,KCR,CHW,KCR,4667,3918,1415
2019-04-17,DET,PIT,PIT,3290,4990,1720
2019-04-18,MIL,LAD,LAD,3597,5290,1113
2019-04-18,KCR,NYY,NYY,3125,5593,1282
2019-04-18,TOR,MIN,MIN,3521,5255,1224
2019-04-18,ARI,ATL,ATL,3820,4976,1204
2019-04-18,BAL,TBR,TBR,1710,7276,1014
2019-04-18,SFG,WSN,WSN,3881,5021,1098
2019-04-18,COL,PHI,PHI,3235,5707,1058
2019-04-18,SDP,CIN,CIN,3843,4702,1455
2019-04-18,DET,CHW,DET,4637,3907,1456
2019-04-18,SEA,LAA,SEA,5548,3247,1205
2019-04-19,TEX,HOU,HOU,3953,4767,1280
2019-04-19,MIL,LAD,LAD,3602,5373,1025
2019-04-19,KCR,NYY,NYY,3507,5174,1319
2019-04-19,TOR,OAK,OAK,3974,4787,1239
2019-04-19,BOS,TBR,TBR,1671,7346,983
2019-04-19,MIA,WSN,WSN,2623,6376,1001
2019-04-19,NYM,STL,STL,3346,5182,1472
2019-04-19,CHC,ARI,CHC,5065,3859,1076
2019-04-19,COL,PHI,PHI,3569,5330,1101
2019-04-19,PIT,SFG,PIT,4778,3452,1770
2019-04-19,SDP,CIN,CIN,3761,4860,1379
2019-04-19,DET,CHW,DET,4857,3732,1411
2019-04-19,SEA,LAA,SEA,5573,3279,1148
2019-04-20,TEX,HOU,HOU,3618,5092,1290
2019-04-20,MIL,LAD,LAD,3463,5439,1098
2019-04-20,KCR,NYY,NYY,3301,5404,1295
2019-04-20,BAL,MIN,MIN,2956,5879,1165
2019-04-20,BAL,MIN,MIN,2937,5829,1234
2019-04-20,CLE,ATL,ATL,4138,4452,1410
2019-04-20,CLE,ATL,ATL,4095,4446,1459
2019-04-20,TOR,OAK,OAK,4149,4622,1229
2019-04-20,BOS,TBR,TBR,1766,7176,1058
2019-04-20,MIA,WSN,WSN,2851,6096,1053
2019-04-20,NYM,STL,STL,3374,5027,1599
2019-04-20,CHC,ARI,CHC,5247,3721,1032
2019-04-20,COL,PHI,PHI,3446,5378,1176
2019-04-20,PIT,SFG,PIT,5025,3209,1766
2019-04-20,SDP,CIN,CIN,3525,5040,1435
2019-04-20,SEA,LAA,SEA,5585,3233,1182
2019-04-21,TEX,HOU,HOU,3979,4749,1272
2019-04-21,MIL,LAD,LAD,3836,5114,1050
2019-04-21,KCR,NYY,NYY,2970,5825,1205
2019-04-21,BAL,MIN,MIN,2791,6170,1039
2019-04-21,CLE,ATL,ATL,4266,4300,1434
2019-04-21,TOR,OAK,TOR,4624,4149,1227
2019-04-21,BOS,TBR,TBR,1885,7048,1067
2019-04-21,MIA,WSN,WSN,3146,5739,1115
2019-04-21,NYM,STL,STL,3004,5535,1461
2019-04-21,CHC,ARI,CHC,4873,4069,1058
2019-04-21,COL,PHI,PHI,3419,5454,1127
2019-04-21,PIT,SFG,PIT,5171,3045,1784
2019-04-21,SDP,CIN,CIN,3516,4994,1490
2019-04-21,DET,CHW,DET,4503,4124,1373
2019-04-21,SEA,LAA,SEA,5639,3150,1211
2019-04-22,MIN,HOU,MIN,4456,4316,1228
2019-04-22,LAA,NYY,NYY,3267,5468,1265
2019-04-22,TEX,OAK,TEX,4888,3964,1148
2019-04-22,KCR,TBR,TBR,2349,6350,1301
2019-04-22,COL,WSN,WSN,3703,5200,1097
2019-04-22,MIL,STL,STL,3429,5108,1463
