attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,home,road,home_team_runs,road_team_runs,team,cum_runs_scored,cum_runs_allowed,ytd_rd,winning_team,league_home_team_runs
,ATL/ATL202008180,"Tuesday, Aug 18",2020-08-18,1,Night,25,3:44,-1.0,9,Home,Matzek,WSN,1,14-11,Loss,8,5,Hudson,-,Suero,ATL,WSN,5,8,Atlanta Braves,124,111,0.52,WSN,
,ATL/ATL202008210,"Friday, Aug 21",2020-08-21,1,Night,26,3:18,-1.5,9,Home,Nola,PHI,1,15-11,Win,2,11,,+,Fried,ATL,PHI,11,2,Atlanta Braves,135,113,0.8461538461538461,ATL,
,ATL/ATL202008220,"Saturday, Aug 22",2020-08-22,1,Night,27,3:18,-2.0,9,Home,Workman,PHI,1,16-11,Loss,5,6,,++,Melancon,ATL,PHI,6,5,Atlanta Braves,141,118,0.8518518518518519,PHI,
,ATL/ATL202008230,"Sunday, Aug 23",2020-08-23,1,Night,28,3:17,-2.0,9,Home,Tomlin,PHI,1,16-12,Loss,5,4,Workman,-,Eflin,ATL,PHI,4,5,Atlanta Braves,145,123,0.7857142857142857,PHI,
,ATL/ATL202008261,"Wednesday, Aug 26 (1)",2020-08-26,1,Day,29,2:05,-2.0,7,Home,Cole,NYY,1,17-12,Win,1,5,,+,Anderson,ATL,NYY,5,1,Atlanta Braves,150,124,0.896551724137931,ATL,
,ATL/ATL202008262,"Wednesday, Aug 26 (2)",2020-08-26,2,Night,30,1:58,-2.0,7,Home,Green,NYY,1,18-12,Win,1,2,Melancon,++,Fried,ATL,NYY,2,1,Atlanta Braves,152,125,0.9,ATL,
,PHI/PHI202008280,"Friday, Aug 28",2020-08-28,1,Night,31,4:07,-2.0,11,Away,Melancon,PHI,1,18-13,Loss,7,4,,-,Parker,PHI,ATL,7,4,Atlanta Braves,156,132,0.7741935483870968,PHI,
,PHI/PHI202008290,"Saturday, Aug 29",2020-08-29,1,Day,32,2:33,-2.0,9,Away,Tomlin,PHI,1,18-14,Loss,4,1,Workman,--,Eflin,PHI,ATL,4,1,Atlanta Braves,157,136,0.65625,PHI,
,PHI/PHI202008300,"Sunday, Aug 30",2020-08-30,1,Night,33,4:13,-3.0,9,Away,Arrieta,PHI,1,19-14,Win,10,12,Melancon,+,Minter,PHI,ATL,10,12,Atlanta Braves,169,146,0.696969696969697,ATL,
,BOS/BOS202008310,"Monday, Aug 31",2020-08-31,1,Night,34,3:19,-3.0,9,Away,Brewer,BOS,1,20-14,Win,3,6,Melancon,++,Fried,BOS,ATL,3,6,Atlanta Braves,175,149,0.7647058823529411,ATL,
,BOS/BOS202009010,"Tuesday, Sep 1",2020-09-01,1,Night,35,3:05,-3.0,9,Away,Stock,BOS,1,21-14,Win,3,10,,+++,Anderson,BOS,ATL,3,10,Atlanta Braves,185,152,0.9428571428571428,ATL,
,BOS/BOS202009020,"Wednesday, Sep 2",2020-09-02,1,Night,36,3:01,-3.0,9,Away,Triggs,BOS,1,22-14,Win,5,7,Melancon,++++,Matzek,BOS,ATL,5,7,Atlanta Braves,192,157,0.9722222222222222,ATL,
,ATL/ATL202009041,"Friday, Sep 4 (1)",2020-09-04,1,Day,37,2:30,-2.0,7,Home,Voth,WSN,1,23-14,Win,1,7,,+++++,O'Day,ATL,WSN,7,1,Atlanta Braves,199,158,1.1081081081081081,ATL,
,ATL/ATL202009042,"Friday, Sep 4 (2)",2020-09-04,2,Night,38,3:12,-2.0,7,Home,Smith,WSN,1,23-15,Loss,10,9,Hudson,-,Suero,ATL,WSN,9,10,Atlanta Braves,208,168,1.0526315789473684,WSN,
