attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,team
37652,CIN/CIN201907190,"Friday, Jul 19",2019-07-19,1,Night,95,3:49,9.0,9,Home,Hughes,STL,5,43-52,Loss,12,11,Martinez,----,Wacha,CIN
38427,CIN/CIN201907200,"Saturday, Jul 20",2019-07-20,1,Night,96,2:36,9.0,9,Home,Mikolas,STL,5,44-52,Win,2,3,Lorenzen,+,Garrett,CIN
28763,CIN/CIN201907210,"Sunday, Jul 21",2019-07-21,1,Day,97,3:22,9.0,9,Home,DeSclafani,STL,5,44-53,Loss,3,1,Martinez,-,Gallegos,CIN
26235,MIL/MIL201907220,"Monday, Jul 22",2019-07-22,1,Night,98,3:33,8.0,9,Away,Jeffress,MIL,5,45-53,Win,5,6,Hughes,+,Peralta,CIN
33512,MIL/MIL201907230,"Tuesday, Jul 23",2019-07-23,1,Night,99,3:28,7.0,9,Away,Davies,MIL,4,46-53,Win,6,14,Romano,++,Roark,CIN
39682,MIL/MIL201907240,"Wednesday, Jul 24",2019-07-24,1,Day,100,3:15,8.0,9,Away,Sims,MIL,4,46-54,Loss,5,4,Peralta,-,Albers,CIN
23045,CIN/CIN201907260,"Friday, Jul 26",2019-07-26,1,Night,101,2:47,9.0,9,Home,Castillo,COL,4,46-55,Loss,12,2,,--,Marquez,CIN
25115,CIN/CIN201907270,"Saturday, Jul 27",2019-07-27,1,Night,102,2:41,8.0,9,Home,Gonzalez,COL,4,47-55,Win,1,3,Iglesias,+,DeSclafani,CIN
19649,CIN/CIN201907280,"Sunday, Jul 28",2019-07-28,1,Day,103,3:32,7.0,9,Home,McGee,COL,4,48-55,Win,2,3,Iglesias,++,Sims,CIN
15944,CIN/CIN201907290,"Monday, Jul 29",2019-07-29,1,Night,104,3:13,6.5,9,Home,McRae,PIT,4,49-55,Win,6,11,,+++,Gray,CIN
18786,CIN/CIN201907300,"Tuesday, Jul 30",2019-07-30,1,Night,105,3:35,7.5,9,Home,Roark,PIT,4,49-56,Loss,11,4,,-,Musgrove,CIN
20886,CIN/CIN201907310,"Wednesday, Jul 31",2019-07-31,1,Day,106,2:45,6.5,9,Home,Agrazal,PIT,4,50-56,Win,1,4,Iglesias,+,Castillo,CIN
28677,ATL/ATL201908010,"Thursday, Aug 1",2019-08-01,1,Night,107,2:08,7.5,6,Away,DeSclafani,ATL,4,50-57,Loss,4,1,,-,Fried,CIN
37743,ATL/ATL201908020,"Friday, Aug 2",2019-08-02,1,Night,108,3:01,7.0,9,Away,Gausman,ATL,4,51-57,Win,2,5,Iglesias,+,Wood,CIN
42085,ATL/ATL201908030,"Saturday, Aug 3",2019-08-03,1,Night,109,3:47,7.5,10,Away,Hughes,ATL,4,51-58,Loss,5,4,,-,Jackson,CIN
33083,ATL/ATL201908040,"Sunday, Aug 4",2019-08-04,1,Day,110,3:54,7.5,10,Away,Greene,ATL,4,52-58,Win,4,6,Hernandez,+,Stephenson,CIN
21895,CIN/CIN201908050,"Monday, Aug 5",2019-08-05,1,Night,111,3:07,7.5,9,Home,Cole,LAA,4,53-58,Win,4,7,Iglesias,++,Castillo,CIN
19288,CIN/CIN201908060,"Tuesday, Aug 6",2019-08-06,1,Night,112,3:08,6.5,9,Home,Suarez,LAA,4,54-58,Win,4,8,,+++,DeSclafani,CIN
20111,CIN/CIN201908080,"Thursday, Aug 8",2019-08-08,1,Night,113,3:45,8.0,9,Home,Gausman,CHC,4,54-59,Loss,12,5,,-,Chatwood,CIN
31569,CIN/CIN201908090,"Friday, Aug 9",2019-08-09,1,Night,114,2:44,7.0,9,Home,Darvish,CHC,4,55-59,Win,2,5,Iglesias,+,Bauer,CIN
39866,CIN/CIN201908100,"Saturday, Aug 10",2019-08-10,1,Night,115,3:05,6.0,9,Home,Hendricks,CHC,4,56-59,Win,1,10,Romano,++,Gray,CIN
31929,CIN/CIN201908110,"Sunday, Aug 11",2019-08-11,1,Day,116,2:55,7.0,9,Home,Lorenzen,CHC,4,56-60,Loss,6,3,Strop,-,Phelps,CIN
22394,WAS/WAS201908120,"Monday, Aug 12",2019-08-12,1,Night,117,3:11,7.5,9,Away,DeSclafani,WSN,4,56-61,Loss,7,6,Doolittle,--,Fedde,CIN
30130,WAS/WAS201908130,"Tuesday, Aug 13",2019-08-13,1,Night,118,2:38,7.5,9,Away,Wood,WSN,4,56-62,Loss,3,1,Hudson,---,Ross,CIN
23596,WAS/WAS201908140,"Wednesday, Aug 14",2019-08-14,1,Day,119,3:38,7.5,9,Away,Bauer,WSN,4,56-63,Loss,17,7,Guerra,----,Strasburg,CIN
14891,CIN/CIN201908150,"Thursday, Aug 15",2019-08-15,1,Night,120,3:01,6.5,9,Home,Wacha,STL,4,57-63,Win,1,2,Iglesias,+,Gray,CIN
24118,CIN/CIN201908160,"Friday, Aug 16",2019-08-16,1,Night,121,3:03,7.5,9,Home,Castillo,STL,4,57-64,Loss,13,4,,-,Wainwright,CIN
37698,CIN/CIN201908170,"Saturday, Aug 17",2019-08-17,1,Night,122,2:59,6.5,9,Home,Mikolas,STL,4,58-64,Win,1,6,,+,DeSclafani,CIN
21525,CIN/CIN201908180,"Sunday, Aug 18",2019-08-18,1,Day,123,3:03,7.5,9,Home,Wood,STL,4,58-65,Loss,5,4,Martinez,-,Flaherty,CIN
10176,CIN/CIN201908190,"Monday, Aug 19",2019-08-19,1,Night,124,3:00,8.5,9,Home,Bauer,SDP,4,58-66,Loss,3,2,Yates,--,Perdomo,CIN
