attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner
,SDN/SDN202008250,"Tuesday, Aug 25",2020-08-25,1,Night,31,3:08,9.0,9,Away,Paddack,SDP,3,12-19,Win,3,8,,++++,Gonzales
,SDN/SDN202008271,"Thursday, Aug 27 (1)",2020-08-27,1,Day,32,2:49,9.5,7,Away,Williams,SDP,3,12-20,Loss,10,7,,-,Johnson
,SDN/SDN202008272,"Thursday, Aug 27 (2)",2020-08-27,2,Day,33,2:39,9.5,7,Away,Richards,SDP,3,13-20,Win,3,8,,+,Kikuchi
,ANA/ANA202008280,"Friday, Aug 28",2020-08-28,1,Night,34,2:50,10.0,9,Away,Margevicius,LAA,4,13-21,Loss,3,2,Buttrey,-,Heaney
,ANA/ANA202008290,"Saturday, Aug 29",2020-08-29,1,Night,35,3:26,9.5,9,Away,Sheffield,LAA,4,13-22,Loss,16,3,,--,Bundy
,ANA/ANA202008300,"Sunday, Aug 30",2020-08-30,1,Day,36,3:27,9.0,10,Away,Quijada,LAA,3,14-22,Win,1,2,Ramirez,+,Williams
,ANA/ANA202008310,"Monday, Aug 31",2020-08-31,1,Day,37,2:30,8.5,9,Away,Andriese,LAA,3,15-22,Win,1,2,,++,Gonzales
,SEA/SEA202009040,"Friday, Sep 4",2020-09-04,1,Night,38,2:56,7.5,9,Home,Cody,TEX,3,16-22,Win,3,6,,+++,Kikuchi
,SEA/SEA202009050,"Saturday, Sep 5",2020-09-05,1,Night,39,3:04,7.5,9,Home,Hernandez,TEX,3,17-22,Win,3,5,Ramirez,++++,Gerber
,SEA/SEA202009060,"Sunday, Sep 6",2020-09-06,1,Day,40,2:45,6.5,9,Home,Lyles,TEX,3,18-22,Win,3,4,Hirano,+++++,Dunn
,SEA/SEA202009070,"Monday, Sep 7",2020-09-07,1,Day,41,3:00,6.5,9,Home,Allard,TEX,3,19-22,Win,4,8,Ramirez,++++++,Gonzales
,SFN/SFN202009080,"Tuesday, Sep 8",2020-09-08,1,Night,42,3:04,7.0,9,Away,Misiewicz,SFG,3,19-23,Loss,6,5,Watson,-,Rogers
,SFN/SFN202009090,"Wednesday, Sep 9",2020-09-09,1,Night,43,3:05,8.0,9,Away,Margevicius,SFG,3,19-24,Loss,10,1,,--,Anderson
,ARI/ARI202009110,"Friday, Sep 11",2020-09-11,1,Night,44,2:32,9.5,9,Away,Kikuchi,ARI,3,19-25,Loss,4,3,Crichton,---,Young
,ARI/ARI202009120,"Saturday, Sep 12",2020-09-12,1,Night,45,2:45,9.0,9,Away,Gallen,ARI,3,20-25,Win,3,7,,+,Sheffield
,ARI/ARI202009130,"Sunday, Sep 13",2020-09-13,1,Day,46,3:32,8.0,9,Away,Weaver,ARI,3,21-25,Win,3,7,,++,Sadler
,SEA/SEA202009141,"Monday, Sep 14 (1)",2020-09-14,1,Day,47,2:18,8.0,7,Home,Soria,OAK,3,22-25,Win,5,6,Hirano,+++,Gonzales
,SEA/SEA202009142,"Monday, Sep 14 (2)",2020-09-14,2,Day,48,2:24,8.0,7,Home,Yacabonis,OAK,3,22-26,Loss,9,0,,-,Minor
,SEA/SEA202009160,"Wednesday, Sep 16",2020-09-16,1,Night,49,3:29,8.5,9,Home,Newsome,SFG,3,22-27,Loss,9,3,,--,Cahill
,SFN/SFN202009170,"Thursday, Sep 17",2020-09-17,1,Day,50,3:34,9.0,9,Away,Graveman,SFG,3,22-28,Loss,6,4,Selman,---,Garcia
